Night,Time_Asleep,%Awake,%REM,%Non-REM,Latency,Efficiency,Count
2019-03-12,4.560416666666666,10.74529788116992,18.313830592596414,70.94087152623366,0.08124999999999999,89.25470211883008,4
2019-03-13,5.48125,8.921340187107793,16.316229799496135,74.76243001339607,0.06041666666666666,91.07865981289223,4
2019-03-14,6.758333333333333,10.951663371720606,24.76731843618327,64.28101819209613,0.1,89.04833662827939,2
2019-03-15,6.710416666666667,12.294392857151594,21.836380562342207,65.8692265805062,0.06666666666666667,87.70560714284841,4
2019-03-16,7.05,11.80002363068914,20.49610621606421,67.70387015324664,0.075,88.19997636931086,4
2019-03-17,6.8011904761904765,13.217239178629473,16.355341154008105,70.42741966736241,0.0976190476190476,86.78276082137053,7
2019-03-18,8.112499999999999,12.833117082397457,23.19882053501446,63.968062382588094,0.08194444444444444,87.16688291760255,6
2019-03-19,8.798333333333334,12.292006911996962,20.88596719140755,66.82202589659549,0.07833333333333334,87.70799308800304,5
2019-03-20,8.522222222222224,14.927468949168663,20.968888720932934,64.1036423298984,0.052777777777777785,85.07253105083133,6
2019-03-21,7.933333333333333,12.305848435794982,16.63869299870515,71.05545856549988,0.08833333333333333,87.69415156420503,5
2019-03-22,7.329166666666667,14.624436297163989,18.545820058911637,66.82974364392437,0.14166666666666666,85.37556370283602,8
2019-03-23,7.095000000000001,15.050567019230717,15.9469060937773,69.00252688699199,0.043333333333333335,84.94943298076929,5
2019-03-24,8.706944444444444,14.647396510866889,20.783260551663762,64.56934293746934,0.09583333333333333,85.35260348913312,6
2019-03-25,6.6049999999999995,13.964296220123519,17.324682339398912,68.71102144047757,0.10166666666666666,86.03570377987648,5
2019-03-26,7.670833333333333,13.580223405645649,20.605730502054318,65.81404609230003,0.07638888888888891,86.41977659435435,6
2019-03-27,5.521428571428571,13.4046334929362,16.593008705541553,70.00235780152225,0.07857142857142856,86.5953665070638,7
2019-03-28,7.563888888888889,15.271763384245771,16.509079590474137,68.2191570252801,0.20555555555555557,84.72823661575423,6
2019-03-29,8.47638888888889,13.208940006869804,22.706511670525057,64.08454832260513,0.10277777777777779,86.79105999313019,6
2019-03-30,6.946666666666667,14.75877496485516,12.951978857703669,72.28924617744117,0.048333333333333325,85.24122503514484,5
2019-03-31,8.188333333333334,14.997122087535512,20.062909983501797,64.93996792896269,0.15,85.00287791246448,5
2019-04-01,8.229166666666666,15.866210837413465,20.91331865287004,63.22047050971649,0.12291666666666667,84.13378916258654,4
2019-04-02,9.066666666666666,12.5,14.79779411764706,72.70220588235294,0.30833333333333335,87.5,1
2019-04-03,7.5,17.384238556903632,17.9240237850776,64.69173765801877,0.175,82.61576144309637,2
2019-04-04,7.841666666666666,13.358712418848794,19.99821412854101,66.64307345261021,0.19166666666666668,86.64128758115119,3
2019-04-05,7.225,9.573241061130334,25.02883506343714,65.39792387543253,0.14166666666666666,90.42675893886967,1
