Month,Day,Time_Asleep,Restful,Refreshed,Aggregate,Refresh+Relax,Normalized,Date,Count
3,12,3.125,1.0,1.0,5.125,2.0,1.0572916666666665,2019-03-12,4
3,13,3.5,1.6666666666666667,1.3333333333333333,6.5,3.0,1.4375,2019-03-13,3
3,14,5.5,2.0,1.6666666666666667,9.166666666666666,3.6666666666666665,1.909722222222222,2019-03-14,3
3,15,5.1,1.5,1.1,7.7,2.6,1.4979166666666663,2019-03-15,10
3,16,5.928571428571429,1.4285714285714286,1.2857142857142858,8.642857142857142,2.7142857142857144,1.6279761904761902,2019-03-16,7
3,17,7.916666666666667,2.1666666666666665,1.6666666666666667,11.75,3.8333333333333335,2.2048611111111107,2019-03-17,6
3,18,7.583333333333333,2.3333333333333335,2.3333333333333335,12.25,4.666666666666667,2.451388888888889,2019-03-18,6
3,19,5.928571428571429,1.7142857142857142,1.7142857142857142,9.357142857142858,3.4285714285714284,1.8839285714285712,2019-03-19,7
3,20,5.928571428571429,1.5714285714285714,1.5714285714285714,9.071428571428571,3.142857142857143,1.7708333333333335,2019-03-20,7
3,21,5.0625,1.5,1.25,7.8125,2.75,1.5494791666666665,2019-03-21,8
3,22,7.0,1.8,2.2,11.0,4.0,2.183333333333333,2019-03-22,5
3,23,5.785714285714286,1.2857142857142858,1.1428571428571428,8.214285714285714,2.4285714285714284,1.5148809523809523,2019-03-23,7
3,24,5.666666666666667,1.3333333333333333,1.1666666666666667,8.166666666666666,2.5,1.53125,2019-03-24,6
3,25,5.714285714285714,1.0,1.0,7.714285714285714,2.0,1.380952380952381,2019-03-25,7
3,26,5.333333333333333,1.6666666666666667,1.5,8.5,3.1666666666666665,1.722222222222222,2019-03-26,6
3,27,5.5,1.5,1.25,8.25,2.75,1.6041666666666665,2019-03-27,4
3,28,4.25,1.125,0.875,6.25,2.0,1.1901041666666667,2019-03-28,8
3,29,6.5,1.5,1.0,9.0,2.5,1.645833333333333,2019-03-29,4
3,30,6.75,2.5,2.5,11.75,5.0,2.5104166666666665,2019-03-30,2
3,31,6.071428571428571,1.4285714285714286,1.2857142857142858,8.785714285714286,2.7142857142857144,1.663690476190476,2019-03-31,7
