Month,Day,Hour,Concentration,AQI,Date,Count
3,20,6,253.58836206896552,298.62068965517244,2019-03-20 06:00:00,29
3,20,7,234.48214285714286,284.0357142857143,2019-03-20 07:00:00,28
3,20,8,237.60044642857142,287.5357142857143,2019-03-20 08:00:00,28
3,20,9,214.84821428571428,268.17857142857144,2019-03-20 09:00:00,28
3,20,10,216.71428571428572,271.2857142857143,2019-03-20 10:00:00,28
3,20,11,219.12276785714286,272.10714285714283,2019-03-20 11:00:00,28
3,20,12,230.7456896551724,280.3103448275862,2019-03-20 12:00:00,29
3,20,13,232.921875,280.92857142857144,2019-03-20 13:00:00,28
3,20,14,230.73883928571428,278.9642857142857,2019-03-20 14:00:00,28
3,20,15,243.45758928571428,289.64285714285717,2019-03-20 15:00:00,28
3,20,16,241.2198275862069,286.0689655172414,2019-03-20 16:00:00,29
3,20,17,241.39285714285714,286.92857142857144,2019-03-20 17:00:00,28
3,20,18,218.03571428571428,268.25,2019-03-20 18:00:00,28
3,20,19,183.27678571428572,241.25,2019-03-20 19:00:00,28
3,20,20,171.1875,229.67857142857142,2019-03-20 20:00:00,28
3,20,21,153.40086206896552,217.24137931034483,2019-03-20 21:00:00,29
3,20,22,158.0625,223.03703703703704,2019-03-20 22:00:00,27
3,20,23,173.24791666666667,236.26666666666668,2019-03-20 23:00:00,30
3,21,0,169.87962962962962,233.40740740740742,2019-03-21 00:00:00,27
3,21,1,175.8448275862069,237.6206896551724,2019-03-21 01:00:00,29
3,21,2,175.54464285714286,238.53571428571428,2019-03-21 02:00:00,28
3,21,3,184.99305555555554,245.92592592592592,2019-03-21 03:00:00,27
3,21,4,182.30833333333334,242.43333333333334,2019-03-21 04:00:00,30
3,21,5,173.5787037037037,236.25925925925927,2019-03-21 05:00:00,27
3,21,6,162.33333333333334,227.40740740740742,2019-03-21 06:00:00,27
3,21,7,161.39166666666668,226.86666666666667,2019-03-21 07:00:00,30
3,21,8,178.6435185185185,245.22222222222223,2019-03-21 08:00:00,27
3,21,9,157.92241379310346,225.48275862068965,2019-03-21 09:00:00,29
3,21,10,145.47767857142858,214.85714285714286,2019-03-21 10:00:00,28
3,21,11,145.70758928571428,215.46428571428572,2019-03-21 11:00:00,28
3,21,12,159.640625,227.25,2019-03-21 12:00:00,28
3,21,13,150.46205357142858,219.28571428571428,2019-03-21 13:00:00,28
3,21,14,152.7844827586207,219.68965517241378,2019-03-21 14:00:00,29
3,21,15,133.7523148148148,204.4814814814815,2019-03-21 15:00:00,27
3,21,16,100.75833333333334,176.56666666666666,2019-03-21 16:00:00,30
3,21,17,73.90972222222223,151.74074074074073,2019-03-21 17:00:00,27
3,21,18,63.051339285714285,137.21428571428572,2019-03-21 18:00:00,28
